Image Name,Predicted Class
003_078+44.jpg,2
058_SV-P+49.jpg,1
112_187+6-ball.jpg,0
095_108+34.jpg,2
031_108+34.jpg,2
097_100+5.jpg,1
042_071+39.jpg,2
059_078+44.jpg,1
073_098+1.jpg,2
017_106+8.jpg,2
006_022+26.jpg,2
080_165+37.jpg,2
065_066+13.jpg,1
028_073+42.jpg,2
274_190+28.jpg,2
077_066+23.jpg,0
036_078+45.jpg,2
116_190+28.jpg,2
066_101+22.jpg,2
130_100+5.jpg,0
140_175+7.jpg,1
070_098+1.jpg,2
102_139+36.jpg,2
051_071+39.jpg,2
068_064+9.jpg,0
127_102+14.jpg,0
100_187+6.jpg,2
085_062+31.jpg,0
021_023+48.jpg,1
047_064+9.jpg,2
095_106+8.jpg,1
030_187+6-ball.jpg,0
088_066+23.jpg,0
034_187+6.jpg,2
028_098+1.jpg,2
066_071+39.jpg,1
055_066+13.jpg,1
173_165+37.jpg,0
071_165+37.jpg,2
038_102+14.jpg,2
192_165+37.jpg,0
FIG+10.jpg,1
013_021+53.jpg,1
069_071+40.jpg,1
293_190+28.jpg,2
180_190+28.jpg,1
041_086+95.jpg,2
023_187+6.jpg,2
060_066+23.jpg,1
182_187+6.jpg,1
046_071+25.jpg,2
180_165+37.jpg,0
198_165+37.jpg,0
020_021+17.jpg,1
033_100+5.jpg,0
020_139+36.jpg,2
031_063+2.jpg,2
156_164+82.jpg,1
080_064+21.jpg,0
077_066+30.jpg,0
070_139+36.jpg,2
020_108+34.jpg,0
001_190+28.jpg,2
060_066+29.jpg,1
005_028+43.jpg,1
060_066+13.jpg,1
031_073+42.jpg,2
137_SV-P+49.jpg,1
004_008+12.jpg,2
024_187+6-ball.jpg,0
086_064+9.jpg,0
002_007+38.jpg,0
013_020+32.jpg,1
054_071+24.jpg,2
019_086+94.jpg,2
069_106+8.jpg,2
049_071+25.jpg,2
FIR+26.jpg,1
038_062+31.jpg,2
046_086+95.jpg,2
004_023+47.jpg,2
075_066+29.jpg,0
019_022+18.jpg,1
014_022+55.jpg,1
024_108+34.jpg,2
010_021+41.jpg,2
036_042+10.jpg,1
072_078+44.jpg,1
057_073+42.jpg,2
123_175+7.jpg,2
004_175+7.jpg,2
043_063+2.jpg,2
029_071+39.jpg,2
012_175+7.jpg,2
089_101+22.jpg,2
020_098+1.jpg,2
158_187+6-ball.jpg,1
017_100+5.jpg,0
157_190+28.jpg,1
007_008+11.jpg,2
016_071+25.jpg,0
103_139+36.jpg,2
226_187+6.jpg,0
138_157+93.jpg,1
109_187+6-ball.jpg,2
025_108+34.jpg,2
037_071+25.jpg,2
013_064+9.jpg,2
089_175+7.jpg,0
205_165+37.jpg,0
044_108+34.jpg,2
125_106+8.jpg,2
059_165+37.jpg,2
039_071+25.jpg,2
012_023+48.jpg,1
086_100+5.jpg,2
039_066+23.jpg,2
003_022+18.jpg,2
057_SV-P+49.jpg,2
032_187+6-ball.jpg,0
057_066+13.jpg,1
070_071+24.jpg,1
021_066+13.jpg,2
211_190+28.jpg,2
069_102+14.jpg,2
070_071+25.jpg,1
042_098+1.jpg,2
185_187+6-ball.jpg,1
005_108+34.jpg,2
168_SV-P+49.jpg,0
009_019+15.jpg,1
041_101+22.jpg,0
003_023+47.jpg,2
097_098+1.jpg,1
012_078+44.jpg,2
009_022+26.jpg,2
061_078+45.jpg,2
011_190+28.jpg,2
018_018+16.jpg,1
055_108+34.jpg,2
023_023+48.jpg,1
067_108+34.jpg,2
049_175+7.jpg,2
109_SV-P+49.jpg,2
025_139+36.jpg,2
001_078+44.jpg,2
237_187+6.jpg,0
030_071+40.jpg,0
076_101+22.jpg,2
069_101+22.jpg,2
089_071+24.jpg,0
035_078+44.jpg,2
116_102+14.jpg,0
078_086+94.jpg,2
113_101+22.jpg,2
059_175+7.jpg,2
172_165+37.jpg,0
056_098+1.jpg,2
FIG+68.jpg,1
099_165+37.jpg,2
010_106+8.jpg,2
032_071+40.jpg,2
035_066+29.jpg,2
005_021+46.jpg,2
152_190+28.jpg,2
032_SV-P+49.jpg,2
065_102+14.jpg,2
159_172+51.jpg,1
115_190+28.jpg,0
009_023+48.jpg,2
015_022+54.jpg,1
004_020+3.jpg,0
090_SV-P+49.jpg,0
088_064+21.jpg,0
009_020+33.jpg,2
WAT+48.jpg,1
333_190+28.jpg,0
078_175+7.jpg,0
077_165+37.jpg,2
041_066+29.jpg,2
124_165+37.jpg,0
020_071+40.jpg,2
024_101+22.jpg,2
013_023+47.jpg,1
022_066+13.jpg,2
020_022+18.jpg,1
210_SV-P+49.jpg,2
056_064+9.jpg,1
097_106+8.jpg,1
GRA+60.jpg,1
203_187+6.jpg,0
003_063+2.jpg,0
208_187+6.jpg,0
125_102+14.jpg,0
012_022+27.jpg,1
014_073+42.jpg,2
170_200+88.jpg,1
009_062+31.jpg,2
020_022+55.jpg,1
045_066+13.jpg,2
013_024+56.jpg,1
159_190+28.jpg,1
129_108+34.jpg,2
147_187+6-ball.jpg,1
025_SV-P+49.jpg,2
084_101+22.jpg,2
018_022+55.jpg,1
064_139+36.jpg,2
180_187+6.jpg,1
132_139+36.jpg,1
040_175+7.jpg,2
089_098+1.jpg,1
005_008+11.jpg,0
179_190+28.jpg,1
138_187+6.jpg,1
025_073+42.jpg,2
161_190+28.jpg,1
014_066+29.jpg,2
044_106+8.jpg,2
055_100+5.jpg,2
018_066+23.jpg,2
026_030+50.jpg,1
152_157+79.jpg,1
072_190+28.jpg,2
026_066+23.jpg,2
348_190+28.jpg,0
047_187+6-ball.jpg,2
001_007+38.jpg,1
119_102+14.jpg,0
146_157+79.jpg,1
106_101+22.jpg,0
014_086+95.jpg,2
001_023+47.jpg,2
039_066+30.jpg,2
029_062+31.jpg,0
050_187+6.jpg,0
059_086+94.jpg,2
003_008+12.jpg,2
026_102+14.jpg,2
100_165+37.jpg,2
126_156+75.jpg,1
109_175+7.jpg,2
064_098+1.jpg,2
062_187+6.jpg,2
017_064+9.jpg,2
135_106+8.jpg,0
002_066+30.jpg,2
048_053+70.jpg,1
195_187+6.jpg,0
MET+36.jpg,1
036_071+25.jpg,0
216_187+6.jpg,0
012_021+19.jpg,1
040_187+6.jpg,2
058_139+36.jpg,2
056_066+23.jpg,1
091_098+1.jpg,1
060_071+39.jpg,2
102_100+5.jpg,0
069_078+45.jpg,1
061_187+6.jpg,2
021_022+27.jpg,1
034_064+21.jpg,2
029_175+7.jpg,2
181_190+28.jpg,1
042_190+28.jpg,2
009_165+37.jpg,0
024_102+14.jpg,2
002_086+94.jpg,2
083_086+94.jpg,1
003_066+29.jpg,2
083_086+95.jpg,1
017_165+37.jpg,2
084_071+25.jpg,0
065_071+40.jpg,0
086_066+30.jpg,1
011_187+6.jpg,2
059_071+24.jpg,2
250_172+51.jpg,1
063_165+37.jpg,2
105_SV-P+49.jpg,1
180_SV-P+49.jpg,1
036_038+35.jpg,1
023_071+39.jpg,2
018_022+20.jpg,1
053_187+6.jpg,2
018_078+44.jpg,2
064_071+40.jpg,2
036_106+8.jpg,2
034_165+37.jpg,2
079_071+24.jpg,2
071_100+5.jpg,2
319_190+28.jpg,2
011_071+24.jpg,2
029_071+24.jpg,2
011_106+8.jpg,2
070_073+42.jpg,1
035_086+95.jpg,2
086_165+37.jpg,2
163_187+6.jpg,1
028_102+14.jpg,2
002_018+16.jpg,0
015_020+61.jpg,1
061_071+40.jpg,2
210_187+6.jpg,0
038_064+9.jpg,2
073_139+36.jpg,2
022_064+21.jpg,2
069_071+39.jpg,1
009_022+18.jpg,1
001_022+18.jpg,2
015_SV-P+49.jpg,1
005_106+8.jpg,2
043_066+23.jpg,2
057_190+28.jpg,2
055_078+45.jpg,2
038_064+21.jpg,0
032_066+13.jpg,0
064_073+42.jpg,1
073_100+5.jpg,2
065_086+95.jpg,2
181_165+37.jpg,0
038_066+23.jpg,2
086_066+29.jpg,1
017_022+55.jpg,1
111_190+28.jpg,0
118_165+37.jpg,2
030_078+45.jpg,2
026_101+22.jpg,2
075_071+25.jpg,2
052_100+5.jpg,2
008_098+1.jpg,2
094_165+37.jpg,2
001_042+10.jpg,0
024_030+50.jpg,1
089_165+37.jpg,2
115_SV-P+49.jpg,1
077_062+31.jpg,0
021_102+14.jpg,2
FIR+13.jpg,1
008_064+21.jpg,2
077_187+6.jpg,2
036_102+14.jpg,2
034_064+9.jpg,2
052_165+37.jpg,2
246_190+28.jpg,2
109_187+6.jpg,2
100_100+5.jpg,1
121_187+6.jpg,2
010_021+46.jpg,2
044_071+25.jpg,0
075_102+14.jpg,2
006_019+15.jpg,2
141_187+6.jpg,1
011_019+15.jpg,1
020_066+30.jpg,2
305_190+28.jpg,2
101_175+7.jpg,2
023_187+6-ball.jpg,0
014_102+14.jpg,2
003_101+22.jpg,2
017_020+33.jpg,1
249_190+28.jpg,2
300_190+28.jpg,2
013_021+19.jpg,1
046_066+29.jpg,2
010_175+7.jpg,0
047_139+36.jpg,2
123_190+28.jpg,2
019_064+9.jpg,0
063_063+2.jpg,1
190_SV-P+49.jpg,2
074_066+29.jpg,0
095_175+7.jpg,2
019_066+29.jpg,2
046_053+70.jpg,1
014_165+37.jpg,2
092_135+77.jpg,1
FIG+13.jpg,1
081_100+5.jpg,2
011_101+22.jpg,2
067_073+42.jpg,1
014_020+32.jpg,1
LIG+50.jpg,1
165_190+28.jpg,1
061_068+57.jpg,1
162_176+90.jpg,1
040_098+1.jpg,2
027_101+22.jpg,2
051_165+37.jpg,2
015_066+30.jpg,2
035_101+22.jpg,2
013_021+46.jpg,1
041_064+21.jpg,2
054_062+31.jpg,1
123_102+14.jpg,0
064_064+9.jpg,1
067_078+45.jpg,2
018_022+27.jpg,1
105_187+6.jpg,0
047_086+94.jpg,0
010_066+13.jpg,2
072_064+9.jpg,0
144_SV-P+49.jpg,0
001_071+39.jpg,2
129_190+28.jpg,2
020_062+31.jpg,2
122_159+69.jpg,1
021_066+23.jpg,2
009_042+10.jpg,1
028_066+30.jpg,2
225_187+6.jpg,0
022_SV-P+49.jpg,2
040_071+39.jpg,2
088_062+31.jpg,2
023_100+5.jpg,2
047_071+24.jpg,0
069_062+31.jpg,2
089_064+21.jpg,0
045_187+6-ball.jpg,0
079_187+6-ball.jpg,2
054_073+42.jpg,0
132_157+93.jpg,1
109_139+36.jpg,2
111_108+34.jpg,0
018_020+32.jpg,1
PSY+3.jpg,1
034_086+94.jpg,2
PSY+63.jpg,1
059_064+9.jpg,1
051_086+94.jpg,2
041_071+25.jpg,0
018_020+59.jpg,1
092_101+22.jpg,1
100_106+8.jpg,1
008_021+41.jpg,2
036_086+95.jpg,2
111_101+22.jpg,2
110_101+22.jpg,2
124_108+34.jpg,0
162_169+87.jpg,1
080_066+29.jpg,2
029_078+45.jpg,2
050_071+39.jpg,2
072_175+7.jpg,0
132_165+37.jpg,2
035_165+37.jpg,2
077_064+21.jpg,0
016_190+28.jpg,2
021_042+10.jpg,1
013_019+15.jpg,1
016_022+18.jpg,1
169_187+6.jpg,1
072_187+6-ball.jpg,0
040_187+6-ball.jpg,2
042_100+5.jpg,2
153_187+6.jpg,1
